z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,2.234354570201737278e-01,-4.389441446522165599e-03,-4.389426267073051266e-03,6.424381435688546714e-04,-2.819944614207887871e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.330926173249537325e-01,-4.471830995661450411e-03,-4.471815821145452494e-03,6.324841714562897017e-04,-2.828362322183487462e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.431671721936762010e-01,-4.547006891760204880e-03,-4.546991786463401575e-03,6.218495975791716408e-04,-2.827554405830803719e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.536771619421803736e-01,-4.613921267873990345e-03,-4.613906302936759095e-03,6.105060770819107589e-04,-2.816826973214546017e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.646414066113516039e-01,-4.671504019854474769e-03,-4.671489273418211706e-03,5.984273618956742436e-04,-2.795555826686550723e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.760795396678142333e-01,-4.718680842921129867e-03,-4.718666400190657355e-03,5.855900227613981086e-04,-2.763212422209957474e-06
1.300000000000000044e-01,-1.000000000000000000e+00,2.880120431612111509e-01,-4.754395160166471034e-03,-4.754381113375105543e-03,5.719742625503180166e-04,-2.719391665609018282e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.004602844010243468e-01,-4.777634024213126517e-03,-4.777620472478476266e-03,5.575648197199222335e-04,-2.663840653398158632e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.134465542186142262e-01,-4.787457879149096575e-03,-4.787444928209910050e-03,5.423519568482768798e-04,-2.596487149085213963e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.269941068829917974e-01,-4.783033816090777324e-03,-4.783021577917565513e-03,5.263325242400616411e-04,-2.517466261948633642e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.411272017418006119e-01,-4.763671641035804004e-03,-4.763660233311135458e-03,5.095110825081973580e-04,-2.427143494537753302e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.558711466620742558e-01,-4.728861702974512804e-03,-4.728851248441739465e-03,4.919010607745355696e-04,-2.326132087949239422e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.712523433485573343e-01,-4.678313017001862507e-03,-4.678303642683437694e-03,4.735259187536090299e-04,-2.215302469592775415e-06
1.300000000000000044e-01,-1.000000000000000000e+00,3.872983346207417577e-01,-4.611989785906626602e-03,-4.611981622193704784e-03,4.544202716546672156e-04,-2.095781651380239810e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.040378537332751097e-01,-4.530144011939575902e-03,-4.530137191552316596e-03,4.346309268856914944e-04,-1.968940690834963061e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.215008758280593404e-01,-4.433341549629103880e-03,-4.433336206440607191e-03,4.142177714927123612e-04,-1.836368856953415631e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.397186716101729176e-01,-4.322478744907501391e-03,-4.322475012611845697e-03,3.932544398764563310e-04,-1.699833957706487578e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.587238633437344948e-01,-4.198786808487195085e-03,-4.198784819072401593e-03,3.718286836130254994e-04,-1.561229371771530448e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.785504832679771670e-01,-4.063821356233105961e-03,-4.063821238192093233e-03,3.500423604448399438e-04,-1.422509619961987168e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.992340345381389710e-01,-3.919435178430624202e-03,-3.919437054606908846e-03,3.280109592100506339e-04,-1.285617692438644944e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.208115548002949513e-01,-3.767733307309870799e-03,-3.767737292230498650e-03,3.058625832956476292e-04,-1.152408642542851324e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.433216825139731698e-01,-3.611010824428869358e-03,-3.611017020928012147e-03,2.837363287790714951e-04,-1.024574954504935709e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.668047261413169391e-01,-3.451675507108785054e-03,-3.451684001993926294e-03,2.617800161809047377e-04,-9.035796701021703475e-07
1.300000000000000044e-01,-1.000000000000000000e+00,5.913027363266896153e-01,-3.292159198421042415e-03,-3.292170056886694653e-03,2.401472675659233459e-04,-7.906030358928338154e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.168595811959725062e-01,-3.134823463179270669e-03,-3.134836721635790840e-03,2.189939635737796404e-04,-6.865074153057109370e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.435210249103920921e-01,-2.981866371248849488e-03,-2.981882028215402606e-03,1.984741665050411433e-04,-5.918234426630270106e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.713348096155424827e-01,-2.835237826253821439e-03,-2.835255830973528336e-03,1.787356528489476067e-04,-5.067580838575078337e-07
