z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,1.000000000000000000e+00,2.646414066113516039e-01,3.012382633474243194e-03,3.012362598796947122e-03,8.824868604409565834e-04,2.658388092661545686e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.760795396678142333e-01,3.038829526030352793e-03,3.038810720183496034e-03,8.612168176822241651e-04,2.617091093886641993e-06
1.300000000000000044e-01,1.000000000000000000e+00,2.880120431612111509e-01,3.057458233414105195e-03,3.057440836685456406e-03,8.387148963953917858e-04,2.564335765471148725e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.004602844010243468e-01,3.067612899488392567e-03,3.067597092516868330e-03,8.149677583009787502e-04,2.500005608031221006e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.134465542186142262e-01,3.068694074669310080e-03,3.068680034815706153e-03,7.899726546943071272e-04,2.424184404611205191e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.269941068829917974e-01,3.060182183086758694e-03,3.060170080245292260e-03,7.637392098487162445e-04,2.337181122503800548e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.411272017418006119e-01,3.041662911917127846e-03,3.041652903826269627e-03,7.362912584179681511e-04,2.239549813098723460e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.558711466620742558e-01,3.012853761761057243e-03,3.012845988919359702e-03,7.076686854342594283e-04,2.132102260991110743e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.712523433485573343e-01,2.973630697725522434e-03,2.973625278073275049e-03,6.779292023989450097e-04,2.015911087138081752e-06
1.300000000000000044e-01,1.000000000000000000e+00,3.872983346207417577e-01,2.924053526782679786e-03,2.924050550370355279e-03,6.471499768303588633e-04,1.892301172108140366e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.040378537332751097e-01,2.864388324878897919e-03,2.864387848804919937e-03,6.154290163100216036e-04,1.762827689110130851e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.215008758280593404e-01,2.795124984566964808e-03,2.795127028523156174e-03,5.828861927818851981e-04,1.629239760603763840e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.397186716101729176e-01,2.716987798122590721e-03,2.716992340928025499e-03,5.496637802638035860e-04,1.493429784046691219e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.587238633437344948e-01,2.630936987150929961e-03,2.630943964672308785e-03,5.159263713180628789e-04,1.357369772947256378e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.785504832679771670e-01,2.538159294518260809e-03,2.538168599355843102e-03,4.818600370792597721e-04,1.223037531769637074e-06
1.300000000000000044e-01,1.000000000000000000e+00,4.992340345381389710e-01,2.440046217979662500e-03,2.440057701229255901e-03,4.476706050911129046e-04,1.092336966853236992e-06
1.300000000000000044e-01,1.000000000000000000e+00,5.208115548002949513e-01,2.338159217564674854e-03,2.338172692837669521e-03,4.135809514136971009e-04,9.670181137571038532e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.433216825139731698e-01,2.234182266595041971e-03,2.234197516283085994e-03,3.798272408312068724e-04,8.486032858348066291e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.668047261413169391e-01,2.129863385340927638e-03,2.129880168850081714e-03,3.466541030628665686e-04,7.383258814917997783e-07
1.300000000000000044e-01,1.000000000000000000e+00,5.913027363266896153e-01,2.026948181578024522e-03,2.026966244939656502e-03,3.143088037259518541e-04,6.370876581662823320e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.168595811959725062e-01,1.927109744509505678e-03,1.927128830424325399e-03,2.830345543410795915e-04,5.454386477035996781e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.435210249103920921e-01,1.831880266993796570e-03,1.831900124017429594e-03,2.530632010578275450e-04,4.635814843201179533e-07
1.300000000000000044e-01,1.000000000000000000e+00,6.713348096155424827e-01,1.742590256076081154e-03,1.742610645356476714e-03,2.246076289914078537e-04,3.913990657207788423e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.003507409323472821e-01,1.660320918258229939e-03,1.660341616041488728e-03,1.978543069207709638e-04,3.285016445480401021e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.306207771430480724e-01,1.585874161760806493e-03,1.585894955848757802e-03,1.729564619314074745e-04,2.742871840865856720e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.621991222319222103e-01,1.519762703151569545e-03,1.519783381672384264e-03,1.500284007015472679e-04,2.280075677996903206e-07
1.300000000000000044e-01,1.000000000000000000e+00,7.951423229473382204e-01,1.462220276380188236e-03,1.462240607665217474e-03,1.291414701688430836e-04,1.888332762024295746e-07
1.300000000000000044e-01,1.000000000000000000e+00,8.295093700589535324e-01,1.413229402539507807e-03,1.413249105619727043e-03,1.103220662961449571e-04,1.559103878386248999e-07
1.300000000000000044e-01,1.000000000000000000e+00,8.653618039913759663e-01,1.372562196786441657e-03,1.372580903057417888e-03,9.355195426395122350e-05,1.284058758581936006e-07
1.300000000000000044e-01,1.000000000000000000e+00,9.027638250234443218e-01,1.339828837515398986e-03,1.339846045478548017e-03,7.877096574528898892e-05,1.055396114644758594e-07
1.300000000000000044e-01,1.000000000000000000e+00,9.417824082504592242e-01,1.314528938740580633e-03,1.314543965353562327e-03,6.588190967547299828e-05,8.660367680790231646e-08
1.300000000000000044e-01,1.000000000000000000e+00,9.824874235152266655e-01,1.296103083553023063e-03,1.296115017382031822e-03,5.475730314764667208e-05,7.097110945671250782e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.024951760522670341e+00,1.283984688699376557e-03,1.283992351178795972e-03,4.524733572352378539e-05,5.809688627344487109e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.069251459362054568e+00,1.277655397754432192e-03,1.277657318317922770e-03,3.718835922232390802e-05,4.751390789403295721e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.115465846670542716e+00,1.276709646219156532e-03,1.276704053213466219e-03,3.041117148542075017e-05,3.882623598826162767e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.163677677681911549e+00,1.280935721609207257e-03,1.280920541876607015e-03,2.474844404575997117e-05,3.170116603246063891e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.213973284414793241e+00,1.290422214530792273e-03,1.290395059053272425e-03,2.004081468214347398e-05,2.586111246313279855e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.266442730265795458e+00,1.305701922497265900e-03,1.305660013642106045e-03,1.614138987877092711e-05,2.107584379648911074e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.321179971284331733e+00,1.327953162817419909e-03,1.327893131841998602e-03,1.291862962057299974e-05,1.715533506390672145e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.378283024417950919e+00,1.359297188072581359e-03,1.359214639298226418e-03,1.025776870654283382e-05,1.394335615870259490e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.437854143029440479e+00,1.403273842974926862e-03,1.403162533428183251e-03,8.061031522001605321e-06,1.131183468222121608e-08
1.300000000000000044e-01,1.000000000000000000e+00,1.500000000000000000e+00,1.465681062735442203e-03,1.465531445613287975e-03,6.246914828792452965e-06,9.155984765082315311e-09
1.300000000000000044e-01,-1.000000000000000000e+00,1.000000000000000056e-01,-2.842585478536726207e-03,-2.842563500339030831e-03,9.968405047075701471e-04,-2.833604343098959753e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.043221252497575080e-01,-2.949612317400842048e-03,-2.949589638251067739e-03,9.933470723192546446e-04,-2.929988759966938394e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.088310581662609300e-01,-3.059239936688257829e-03,-3.059216557500627279e-03,9.895605225119722802e-04,-3.027303070238725359e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.135348728108431654e-01,-3.171333395282848258e-03,-3.171309320676351119e-03,9.854577261320942531e-04,-3.125214996522209717e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.184419922158806843e-01,-3.285724388683903922e-03,-3.285699627515825758e-03,9.810139966138710539e-04,-3.223341614314464888e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.235612034677590898e-01,-3.402207365477576562e-03,-3.402181931424717951e-03,9.762030354219940372e-04,-3.321245157314275772e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.289016734417433585e-01,-3.520535410265179018e-03,-3.520509322452926998e-03,9.709968861836128316e-04,-3.418428921066636871e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.344729652169289191e-01,-3.640415924351516046e-03,-3.640389208029947386e-03,9.653659002806921560e-04,-3.514333396207769540e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.402850552006674190e-01,-3.761506150564713005e-03,-3.761478837829284206e-03,9.592787171589485865e-04,-3.608332794699212982e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.463483509931317317e-01,-3.883408606963799619e-03,-3.883380737516308519e-03,9.527022631496541265e-04,-3.699732168589257666e-06
