jt,driver_no_gluon,driver_with_gluon,cartesian_no_gluon,cartesian_with_gluon
1.070854271356783904e+00,8.498518166589007264e-10,2.265947082323562993e-09,6.400164677915913377e-12,1.706466256120816681e-11
1.077889447236180853e+00,7.541844376580351755e-10,2.010870592432902426e-09,5.642631141211708052e-12,1.504486231649551247e-11
1.084924623115577802e+00,6.687059351658555511e-10,1.782960550321076341e-09,4.970658499977784555e-12,1.325319179704964247e-11
1.091959798994974751e+00,5.924016778120281594e-10,1.579511659666804008e-09,4.375099605294955543e-12,1.166526209765353611e-11
1.098994974874371700e+00,5.243498007162953889e-10,1.398065966042302194e-09,3.847722256978288077e-12,1.025912382710216421e-11
1.106030150753768870e+00,4.637136607398629232e-10,1.236392740463839784e-09,3.381125092964807637e-12,9.015042845345375080e-12
1.113065326633165819e+00,4.097348025661144590e-10,1.092469724958826431e-09,2.968660369571717106e-12,7.915294373654936865e-12
1.120100502512562768e+00,3.617264121384339206e-10,9.644656775658027422e-10,2.604363160666158585e-12,6.943974219438586822e-12
1.127135678391959717e+00,3.190672338052763161e-10,8.507241537100783563e-10,2.282886526082938752e-12,6.086825916769936501e-12
1.134170854271356887e+00,2.811959275308679251e-10,7.497484609197192580e-10,1.999442221999039510e-12,5.331082643354157777e-12
1.141206030150753836e+00,2.476058427015966066e-10,6.601877243043412814e-10,1.749746548259886963e-12,4.665322834070677382e-12
1.148241206030150785e+00,2.178401853719052026e-10,5.808240010557173803e-10,1.529970949707388025e-12,4.079338470039096349e-12
1.155276381909547734e+00,1.914875562294057609e-10,5.105603833914530019e-10,1.336697010258728928e-12,3.564015080010212754e-12
1.162311557788944683e+00,1.681778370985257604e-10,4.484100308016924737e-10,1.166875499721302737e-12,3.111222547506269368e-12
1.169346733668341631e+00,1.475784044282108322e-10,3.934860741284841535e-10,1.017789154012987742e-12,2.713715872283583614e-12
1.176381909547738802e+00,1.293906489063913935e-10,3.449923358663204465e-10,8.870188895141269887e-13,2.365045088168750379e-12
1.183417085427135751e+00,1.133467810977432522e-10,3.022148130822718899e-10,7.724131716475209400e-13,2.059473590965416993e-12
1.190452261306532700e+00,9.920690379873128776e-11,2.645138714803913105e-10,6.720602764180996036e-13,1.791904179815829022e-12
