z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,-1.000000000000000000e+00,4.040378537332751097e-01,-4.528579976513036690e-03,-4.528575960715899157e-03,4.346309268856914944e-04,-1.968260912667844342e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.215008758280593404e-01,-4.431736964549158782e-03,-4.431736741112189334e-03,4.142177714927123612e-04,-1.835704209297430089e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.397186716101729176e-01,-4.320839962756412717e-03,-4.320843545108682578e-03,3.932544398764563310e-04,-1.699189499349581608e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.587238633437344948e-01,-4.197121269400650063e-03,-4.197128612853040508e-03,3.718286836130254994e-04,-1.560610076565474385e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.785504832679771670e-01,-4.062137523405159878e-03,-4.062148523632063725e-03,3.500423604448399438e-04,-1.421920207144298442e-06
1.300000000000000044e-01,-1.000000000000000000e+00,4.992340345381389710e-01,-3.917742421102357944e-03,-3.917756915006119153e-03,3.280109592100506339e-04,-1.285062449483690578e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.208115548002949513e-01,-3.766041728755594419e-03,-3.766059497871846167e-03,3.058625832956476292e-04,-1.151891251956392800e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.433216825139731698e-01,-3.609331036566507112e-03,-3.609351812925945101e-03,2.837363287790714951e-04,-1.024098337663741444e-06
1.300000000000000044e-01,-1.000000000000000000e+00,5.668047261413169391e-01,-3.450018358431823726e-03,-3.450041832485936568e-03,2.617800161809047377e-04,-9.031458616947011704e-07
1.300000000000000044e-01,-1.000000000000000000e+00,5.913027363266896153e-01,-3.290535467582410539e-03,-3.290561297448972577e-03,2.401472675659233459e-04,-7.902131013686737959e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.168595811959725062e-01,-3.133243536112540611e-03,-3.133271357036678841e-03,2.189939635737796404e-04,-6.861614208152102509e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.435210249103920921e-01,-2.980339924336882895e-03,-2.980369356945128910e-03,1.984741665050411433e-04,-5.915204823844602545e-07
1.300000000000000044e-01,-1.000000000000000000e+00,6.713348096155424827e-01,-2.833773540780095117e-03,-2.833804196488589385e-03,1.787356528489476067e-04,-5.064963638374041724e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.003507409323472821e-01,-2.695175820031080107e-03,-2.695207301918611451e-03,1.599152567615646765e-04,-4.309997332778307960e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.306207771430480724e-01,-2.565812937964357006e-03,-2.565844835596965169e-03,1.421342783075129452e-04,-3.646899702096433698e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.621991222319222103e-01,-2.446562509595806741e-03,-2.446594386738927627e-03,1.254942486911568621e-04,-3.070295240176770325e-07
1.300000000000000044e-01,-1.000000000000000000e+00,7.951423229473382204e-01,-2.337915050838721559e-03,-2.337946425746836258e-03,1.100733606651604582e-04,-2.573421665954775249e-07
1.300000000000000044e-01,-1.000000000000000000e+00,8.295093700589535324e-01,-2.239997505072879435e-03,-2.240027824114500937e-03,9.592385817454789987e-05,-2.148692029879520268e-07
1.300000000000000044e-01,-1.000000000000000000e+00,8.653618039913759663e-01,-2.152613811415456796e-03,-2.152642418157017443e-03,8.307063012801954918e-05,-1.788189857365598463e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.027638250234443218e-01,-2.075296405558517670e-03,-2.075322509029559493e-03,7.151116860144428886e-05,-1.484068711558664720e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.417824082504592242e-01,-2.007362974077329162e-03,-2.007385621604333096e-03,6.121693743781551585e-05,-1.228846135990791436e-07
1.300000000000000044e-01,-1.000000000000000000e+00,9.824874235152266655e-01,-1.947974551243124384e-03,-1.947992612608705904e-03,5.213606537498810078e-05,-1.015597285524246412e-07
1.300000000000000044e-01,-1.000000000000000000e+00,1.024951760522670341e+00,-1.896193512592028946e-03,-1.896205682690029707e-03,4.419714643038827903e-05,-8.380634233638220690e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.069251459362054568e+00,-1.851042258011616204e-03,-1.851047083653826466e-03,3.731382019220514171e-05,-6.906945798361884770e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.115465846670542716e+00,-1.811564506789222666e-03,-1.811560438819744467e-03,3.138973551022316162e-05,-5.686453072782157232e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.163677677681911549e+00,-1.776890645994080864e-03,-1.776876109877250894e-03,2.632348614699801231e-05,-4.677395630455553852e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.213973284414793241e+00,-1.746306555043104997e-03,-1.746280022643610088e-03,2.201314887093173351e-05,-3.844170617044781129e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.266442730265795458e+00,-1.719322392044312720e-03,-1.719282427921011054e-03,1.836014312052545468e-05,-3.156700518825775666e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.321179971284331733e+00,-1.695734949263499576e-03,-1.695680202502714441e-03,1.527224540558989782e-05,-2.589768028798770004e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.378283024417950919e+00,-1.675675536723714902e-03,-1.675604661258671760e-03,1.266570404025341528e-05,-2.122361041563536484e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.437854143029440479e+00,-1.659636288728354517e-03,-1.659547806598885488e-03,1.046648645487005601e-05,-1.737056073598613298e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.500000000000000000e+00,-1.648472978387025695e-03,-1.648365152738778816e-03,8.610739688742999901e-06,-1.419457170081754380e-08
3.699999999999999956e-01,1.000000000000000000e+00,1.000000000000000056e-01,5.944090593358000718e-03,5.940622797444118988e-03,5.479611352833725245e-05,3.257130629763665267e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.043221252497575080e-01,6.170214257549597354e-03,6.166630731011834600e-03,5.465126701997599076e-05,3.372100269598059361e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.088310581662609300e-01,6.402189781463199676e-03,6.398489813464594556e-03,5.449419702608806175e-05,3.488821913494632864e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.135348728108431654e-01,6.639794815666445055e-03,6.635978170905820588e-03,5.432392592357240135e-05,3.606997217139840172e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.184419922158806843e-01,6.882745360704888710e-03,6.878812352090929103e-03,5.413940771363474945e-05,3.726277572723300246e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.235612034677590898e-01,7.130688694533502368e-03,7.126640262572862816e-03,5.393952506494735158e-05,3.846259615691265559e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.289016734417433585e-01,7.383195934353939220e-03,7.379033733330964649e-03,5.372308660019796042e-05,3.966480745675261530e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.344729652169289191e-01,7.639754308680366326e-03,7.635480799554852059e-03,5.348882452323808353e-05,4.086414776176562094e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.402850552006674190e-01,7.899759246438254473e-03,7.895377796192846326e-03,5.323539270201363578e-05,4.205467857355038293e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.463483509931317317e-01,8.162506427188877950e-03,8.158021414109099118e-03,5.296136534259008704e-05,4.322974850015898366e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.526737100240096179e-01,8.427183980758985726e-03,8.422600904819544515e-03,5.266523641188348271e-05,4.438196366331093397e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.592724589946988845e-01,8.692865076069552707e-03,8.688190673222101479e-03,5.234541999113733504e-05,4.550316733331507631e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.661564141608184442e-01,8.958501197963261026e-03,8.953743556664381376e-03,5.200025176852258497e-05,4.658443177627007430e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.733379024913548339e-01,9.222916477075277994e-03,9.218085154853216182e-03,5.162799190717262844e-05,4.761606572389714974e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.808297837423337162e-01,9.484803510435095217e-03,9.479909647664833128e-03,5.122682955392084304e-05,4.858764127814886526e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.886454734845430248e-01,9.742721187871842409e-03,9.737777615208897258e-03,5.079488928317560332e-05,4.948804440547993434e-07
3.699999999999999956e-01,1.000000000000000000e+00,1.967989671265430451e-01,9.995095118684335644e-03,9.990116453803113417e-03,5.033023979859045676e-05,5.030555341331035566e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.053048649759813549e-01,1.024022133030928067e-02,1.023522405871244399e-02,4.983090524090858219e-05,5.102794987565725477e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.141783983840887806e-01,1.047627398004440102e-02,1.047127651377733996e-02,4.929487947153304736e-05,5.164266631570465700e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.234354570201737278e-01,1.070131787438475743e-02,1.069634058153793449e-02,4.872014371538703806e-05,5.213697447840655110e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.330926173249537325e-01,1.091332661800610039e-02,1.090839181496788823e-02,4.810468795022668475e-05,5.249821714580861849e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.431671721936762010e-01,1.111020720316581792e-02,1.110533910076846528e-02,4.744653641879144497e-05,5.271408506853260531e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.536771619421803736e-01,1.128983178506170852e-02,1.128505637913590660e-02,4.674377761033487056e-05,5.277293862190144744e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.646414066113516039e-01,1.145007725208193987e-02,1.144542214861674935e-02,4.599459900375833836e-05,5.266417117715639750e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.760795396678142333e-01,1.158887297306930055e-02,1.158436713830459340e-02,4.519732677973771734e-05,5.237860787726837511e-07
3.699999999999999956e-01,1.000000000000000000e+00,2.880120431612111509e-01,1.170425676788534528e-02,1.169993019440854209e-02,4.435047058742871230e-05,5.190892955318124500e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.004602844010243468e-01,1.179443868610921715e-02,1.179032196756571449e-02,4.345277328599986613e-05,5.125010702631299714e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.134465542186142262e-01,1.185787158050212280e-02,1.185399539004588880e-02,4.250326536625953435e-05,5.039982624651090820e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.269941068829917974e-01,1.189332672552397864e-02,1.188972119680306756e-02,4.150132348806833088e-05,4.935887997852590981e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.411272017418006119e-01,1.189997187038818044e-02,1.189666588480857781e-02,4.044673224230443471e-05,4.813149759325454307e-07
3.699999999999999956e-01,1.000000000000000000e+00,3.558711466620742558e-01,1.187744816571339318e-02,1.187446855601304724e-02,3.933974786260259260e-05,4.672558160902965506e-07
