z,charge,jt_GeV,A_UT,A_UT_coarse,FUU_reduced,FUT_reduced
1.300000000000000044e-01,1.000000000000000000e+00,1.500000000000000000e+00,1.206186425211916826e-03,1.206114903237610675e-03,8.870344091282046271e-06,1.069928862986314056e-08
1.300000000000000044e-01,-1.000000000000000000e+00,1.000000000000000056e-01,-2.451169393478895304e-03,-2.451141666863044383e-03,7.411208063334086315e-04,-1.816612637354851003e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.043221252497575080e-01,-2.544289057089411249e-03,-2.544260447854257163e-03,7.387607537067870673e-04,-1.879620901463304025e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.088310581662609300e-01,-2.639791113192159911e-03,-2.639761622642438493e-03,7.362019048107428442e-04,-1.943419245834539352e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.135348728108431654e-01,-2.737577374488309873e-03,-2.737547008588559882e-03,7.334284303563419786e-04,-2.007817076749997034e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.184419922158806843e-01,-2.837522885840187969e-03,-2.837491655878132332e-03,7.304234080227288949e-04,-2.072593136617878718e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.235612034677590898e-01,-2.939472735096171699e-03,-2.939440658403462588e-03,7.271687783513488016e-04,-2.137492797776981092e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.289016734417433585e-01,-3.043238660680860908e-03,-3.043205761410849950e-03,7.236453053578846767e-04,-2.202225369885321672e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.344729652169289191e-01,-3.148595478221643835e-03,-3.148561788182298316e-03,7.198325435793879925e-04,-2.266461491790845430e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.402850552006674190e-01,-3.255277360119686238e-03,-3.255242919657814950e-03,7.157088135892061094e-04,-2.329830697315063631e-06
1.300000000000000044e-01,-1.000000000000000000e+00,1.463483509931317317e-01,-3.362974016218915011e-03,-3.362938875149417556e-03,7.112511883659305848e-04,-2.391919265479449686e-06
